label	x	y
CP5h	-0.5164	-0.2311
CP6	0.6433	-0.2489
CP6h	0.5164	-0.2311
CPP1	-0.1859	-0.3098
CPP1h	-0.0922	-0.3050
CPP2	0.1859	-0.3098
CPP2h	0.0922	-0.3050
CPP3	-0.3843	-0.3307
CPP3h	-0.2826	-0.3181
CPP4	0.3843	-0.3307
CPP4h	0.2826	-0.3181
CPP5	-0.6113	-0.3731
CPP5h	-0.4930	-0.3486
CPP6	0.6113	-0.3731
CPP6h	0.4930	-0.3486
CPPz	0.0000	-0.3034
CPz	0.0000	-0.1989
Cz	0.0000	0.0000
F1	-0.1747	0.4220
F10	1.1810	0.8580
F10h	0.9743	0.7078
F1h	-0.0867	0.4161
F2	0.1747	0.4220
F2h	0.0867	0.4161
F3	-0.3592	0.4472
F3h	-0.2650	0.4321
F4	0.3592	0.4472
F4h	0.2650	0.4321
F5	-0.5653	0.4970
F5h	-0.4586	0.4683
F6	0.5653	0.4970
F6h	0.4586	0.4683
F7	-0.8090	0.5878
F7h	-0.6812	0.5356
F8	0.8090	0.5878
F8h	0.6812	0.5356
F9	-1.1810	0.8580
F9h	-0.9743	0.7078
FC1	-0.1933	0.2034
FC1h	-0.0958	0.2000
FC2	0.1933	0.2034
FC2h	0.0958	0.2000
FC3	-0.4013	0.2183
FC3h	-0.2944	0.2094
FC4	0.4013	0.2183
FC4h	0.2944	0.2094
FC5	-0.6433	0.2489
FC5h	-0.5164	0.2311
FC6	0.6433	0.2489
FC6h	0.5164	0.2311
FCC1	-0.1976	0.1008
FCC1h	-0.0978	0.0991
FCC2	0.1976	0.1008
FCC2h	0.0978	0.0991
FCC3	-0.4110	0.1085
FCC3h	-0.3012	0.1039
FCC4	0.4110	0.1085
FCC4h	0.3012	0.1039
FCC5	-0.6620	0.1244
FCC5h	-0.5300	0.1151
FCC6	0.6620	0.1244
FCC6h	0.5300	0.1151
FCCz	0.0000	0.0985
FCz	0.0000	0.1989
FFC1	-0.1859	0.3098
FFC1h	-0.0922	0.3050
FFC2	0.1859	0.3098
FFC2h	0.0922	0.3050
FFC3	-0.3843	0.3307
FFC3h	-0.2826	0.3181
FFC4	0.3843	0.3307
FFC4h	0.2826	0.3181
FFC5	-0.6113	0.3731
FFC5h	-0.4930	0.3486
FFC6	0.6113	0.3731
FFC6h	0.4930	0.3486
FFCz	0.0000	0.3034
FFT10	1.3007	0.6626
FFT10h	1.0730	0.5467
FFT7	-0.8910	0.4540
FFT7h	-0.7425	0.4070
FFT8	0.8910	0.4540
FFT8h	0.7425	0.4070
FFT9	-1.3007	0.6626
FFT9h	-1.0730	0.5467
FT10	1.3884	0.4512
FT10h	1.1453	0.3722
FT7	-0.9511	0.3090
FT7h	-0.7860	0.2738
FT8	0.9511	0.3090
FT8h	0.7860	0.2738
FT9	-1.3884	0.4512
FT9h	-1.1453	0.3722
FTT10	1.4418	0.2284
FTT10h	1.1894	0.1884
FTT7	-0.9877	0.1564
FTT7h	-0.8120	0.1376
FTT8	0.9877	0.1564
FTT8h	0.8120	0.1376
FTT9	-1.4418	0.2284
FTT9h	-1.1894	0.1884
Fp1	-0.3090	0.9511
Fp1h	-0.1564	0.9877
Fp2	0.3090	0.9511
Fp2h	0.1564	0.9877
Fpz	0.0000	1.0000
Fz	0.0000	0.4142
I1	-0.4512	-1.3884
I1h	-0.2284	-1.4418
I2	0.4512	-1.3884
I2h	0.2284	-1.4418
Iz	0.0000	-1.4598
LPA	-1.4598	-0.0000
N1	-0.4512	1.3884
N1h	-0.2284	1.4418
N2	0.4512	1.3884
N2h	0.2284	1.4418
NAS	-0.0000	1.4598
NFp1	-0.3722	1.1453
NFp1h	-0.1884	1.1894
NFp2	0.3722	1.1453
NFp2h	0.1884	1.1894
NFpz	-0.0000	1.2042
Nz	-0.0000	1.4598
O1	-0.3090	-0.9511
O1h	-0.1564	-0.9877
O2	0.3090	-0.9511
O2h	0.1564	-0.9877
OI1	-0.3722	-1.1453
OI1h	-0.1884	-1.1894
OI2	0.3722	-1.1453
OI2h	0.1884	-1.1894
OIz	0.0000	-1.2042
Oz	0.0000	-1.0000
P1	-0.1747	-0.4220
P10	1.1810	-0.8580
P10h	0.9743	-0.7078
P1h	-0.0867	-0.4161
P2	0.1747	-0.4220
P2h	0.0867	-0.4161
P3	-0.3592	-0.4472
P3h	-0.2650	-0.4321
P4	0.3592	-0.4472
P4h	0.2650	-0.4321
P5	-0.5653	-0.4970
P5h	-0.4586	-0.4683
P6	0.5653	-0.4970
P6h	0.4586	-0.4683
P7	-0.8090	-0.5878
P7h	-0.6812	-0.5356
P8	0.8090	-0.5878
P8h	0.6812	-0.5356
P9	-1.1810	-0.8580
P9h	-0.9743	-0.7078
PO1	-0.1371	-0.6754
PO10	0.8580	-1.1810
PO10h	0.7078	-0.9743
PO1h	-0.0683	-0.6700
PO2	0.1371	-0.6754
PO2h	0.0683	-0.6700
PO3	-0.2781	-0.6983
PO3h	-0.2069	-0.6848
PO4	0.2781	-0.6983
PO4h	0.2069	-0.6848
PO5	-0.4269	-0.7404
PO5h	-0.3513	-0.7166
PO6	0.4269	-0.7404
PO6h	0.3513	-0.7166
PO7	-0.5878	-0.8090
PO7h	-0.5056	-0.7708
PO8	0.5878	-0.8090
PO8h	0.5056	-0.7708
PO9	-0.8580	-1.1810
PO9h	-0.7078	-0.9743
POO1	-0.1089	-0.8246
POO10	0.6626	-1.3007
POO10h	0.5467	-1.0730
POO1h	-0.0543	-0.8217
POO2	0.1089	-0.8246
POO2h	0.0543	-0.8217
POO3	-0.2195	-0.8369
POO3h	-0.1639	-0.8296
POO4	0.2195	-0.8369
POO4h	0.1639	-0.8296
POO5	-0.3339	-0.8583
POO5h	-0.2761	-0.8463
POO6	0.3339	-0.8583
POO6h	0.2761	-0.8463
POO7	-0.4540	-0.8910
POO7h	-0.3931	-0.8731
POO8	0.4540	-0.8910
POO8h	0.3931	-0.8731
POO9	-0.6626	-1.3007
POO9h	-0.5467	-1.0730
POOz	0.0000	-0.8207
POz	0.0000	-0.6682
PPO1	-0.1588	-0.5428
PPO10	1.0322	-1.0322
PPO10h	0.8515	-0.8515
PPO1h	-0.0790	-0.5366
PPO2	0.1588	-0.5428
PPO2h	0.0790	-0.5366
PPO3	-0.3244	-0.5692
PPO3h	-0.2403	-0.5535
PPO4	0.3244	-0.5692
PPO4h	0.2403	-0.5535
PPO5	-0.5042	-0.6197
PPO5h	-0.4120	-0.5908
PPO6	0.5042	-0.6197
PPO6h	0.4120	-0.5908
PPO7	-0.7071	-0.7071
PPO7h	-0.6021	-0.6576
PPO8	0.7071	-0.7071
PPO8h	0.6021	-0.6576
PPO9	-1.0322	-1.0322
PPO9h	-0.8515	-0.8515
PPOz	0.0000	-0.5345
Pz	0.0000	-0.4142
RPA	1.4598	0.0000
T10	1.4598	0.0000
T10h	1.2042	0.0000
T7	-1.0000	0.0000
T7h	-0.8072	0.0000
T8	1.0000	0.0000
T8h	0.8072	-0.0000
T9	-1.4598	-0.0000
T9h	-1.2042	-0.0000
TP10	1.3884	-0.4512
TP10h	1.1453	-0.3722
TP7	-0.9511	-0.3090
TP7h	-0.7860	-0.2738
TP8	0.9511	-0.3090
TP8h	0.7860	-0.2738
TP9	-1.3884	-0.4512
TP9h	-1.1453	-0.3722
TPP10	1.3007	-0.6626
TPP10h	1.0730	-0.5467
TPP7	-0.8910	-0.4540
TPP7h	-0.7425	-0.4070
TPP8	0.8910	-0.4540
TPP8h	0.7425	-0.4070
TPP9	-1.3007	-0.6626
TPP9h	-1.0730	-0.5467
TTP10	1.4418	-0.2284
TTP10h	1.1894	-0.1884
TTP7	-0.9877	-0.1564
TTP7h	-0.8120	-0.1376
TTP8	0.9877	-0.1564
TTP8h	0.8120	-0.1376
TTP9	-1.4418	-0.2284
TTP9h	-1.1894	-0.1884
